0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,gender,label
-265.06558,92.86878,-14.418296,39.39031,-41.940544,-8.574887,-22.382296,-13.921613,-9.94135,-18.851603,3.6458218,-10.316295,-12.934859,-0.6330369,-10.012327,-11.355387,-4.9853406,-13.237996,-5.557812,-9.741834,-4.9741178,-6.9135504,-7.8007455,-1.3492037,-7.9529147,0.5504163,-6.0062194,-3.122371,2.5241282,4.284517,8.655406,8.226752,6.327101,-0.37677777,-1.2255388,-3.8923826,-1.5615199,-1.4777781,-0.63631076,male,child
-314.35486,65.617424,-6.1003776,22.622772,-37.83762,-16.136889,-25.745165,-1.6422124,-12.98061,-8.072046,-1.067236,-15.962409,-5.952592,-9.010253,-7.9556,-7.9534173,-3.4960172,-7.024338,-1.8352983,-4.9818683,-6.381142,-6.41747,-2.7273092,-1.0825822,-5.1563745,2.1955013,-4.2270927,0.2811591,-1.3903352,-3.1422427,-2.3208964,-1.3749958,1.258655,-2.880117,0.6548594,-0.87422657,-0.9877667,-1.7153035,-0.0029243173,male,child
-236.43822,72.320595,-26.424511,48.28498,-58.962196,-22.108583,-28.264359,-0.6004151,-14.352341,-25.155659,0.41679594,-21.023094,-6.4828367,-8.164726,-16.210236,-4.4763536,-7.83359,-15.167536,-8.066757,-12.819623,-5.6105165,-7.285012,-3.1318054,5.2102857,5.1216574,15.678985,8.165248,9.4607,2.335373,-2.90167,-3.7127867,-3.5746086,-1.3462118,-1.5271528,1.2123876,-5.007828,-0.41514766,-3.010557,-1.4279932,male,child
-247.91983,94.690155,-6.5522656,40.547997,-51.721565,-23.006826,-36.029907,-13.259617,-22.156431,-23.650486,6.873483,-19.380966,-11.645307,-5.622271,-10.810735,-9.3429365,-10.970778,-9.593221,-7.0606723,-12.71066,-12.156147,-16.159782,-7.920038,-1.7452339,5.9497933,20.037056,7.383635,8.683551,-0.28535125,-2.731116,3.4349859,-0.081585534,-0.57167685,-5.717988,-0.8511361,-3.571177,-0.17913099,-0.20542587,-5.5991125,male,child
-253.21938,78.59434,-30.622185,24.052887,-55.622086,-8.072599,-27.881529,-14.738286,-14.811368,-27.45529,-3.296603,-5.9344964,-6.8603773,-13.434315,-14.997761,-13.360117,-2.140461,-9.422834,-5.185231,-0.20046555,-2.1618342,-4.3082533,-5.9413843,-0.1770931,-5.619106,3.9221387,2.5443366,-0.62170476,5.809718,3.2625263,1.474464,1.3223612,-2.3793333,-2.41817,-0.92940354,-2.19008,1.3572608,-1.6082995,0.42964473,male,child
-239.3505,88.4694,-20.154324,19.876423,-62.440464,-6.806703,-44.5817,-16.959145,-5.5221887,-15.94242,4.059382,-20.63601,-8.5660515,-12.141351,-16.897371,-5.163645,-7.7102184,-15.660061,-6.7717066,-8.632118,-5.4847426,2.008096,-1.3719103,2.492095,0.7900479,-0.51983935,2.7594457,8.178634,5.4289126,3.2336793,-3.4331548,-5.403943,-4.8716087,-2.273987,1.0880647,-4.161211,-1.1328324,-5.8509245,-1.914373,male,child
-267.07642,92.835495,-30.266104,39.41595,-46.540436,-12.760113,-32.139267,-4.971519,-28.998693,-33.260574,2.021318,-12.528688,-3.5967593,-13.939739,-14.858496,-6.948724,-6.904933,-10.747412,-4.417922,-3.9486992,-2.4679189,-8.272528,-5.982724,-1.5612152,-5.212566,3.4168813,-4.7825623,-4.273428,0.23857066,1.5819156,-0.024102824,-0.041627694,-2.968091,-2.956915,2.2008526,0.45795345,0.858179,-5.7669477,-0.73877823,male,child
-284.98193,71.13137,-27.958948,34.249645,-43.687016,-5.7792687,-41.160156,-3.7799544,-11.343462,-28.078009,4.1886272,-9.5195465,-20.668564,-9.490374,-12.898241,-15.350969,5.476844,-10.675506,-3.281462,-7.5070295,-6.029687,-5.830905,-8.461695,0.8254806,-0.0038693077,9.304667,-2.9143717,8.894215,3.505857,-1.5543762,2.1054661,-7.496995,2.0760562,0.16263345,1.0209854,-0.43097675,-1.4427379,0.6263157,0.48914373,male,child
-254.15903,92.11232,-29.795534,30.648027,-52.87167,-27.8726,-39.12189,-11.291803,-7.8874884,-16.94959,-0.6408528,-20.925013,-2.4627542,-13.627055,-17.95716,1.5525272,-12.802241,-13.861157,-4.612953,-14.902799,-8.084887,0.3754916,0.1728633,7.1715927,8.495777,7.734638,5.10877,5.4076667,2.694776,-2.3403246,-0.7953169,1.6142994,-3.6564755,-1.2629243,-2.7642052,-5.2495537,-1.1400453,-5.2979226,0.379206,male,child
-234.78888,84.49517,-18.432589,36.537422,-56.816933,-11.558592,-42.500175,-12.46771,-6.322976,-19.34951,2.083675,-16.706059,-7.71572,-18.582447,-16.299484,-8.256368,-10.237423,-9.774102,-4.175143,-1.5953782,-0.61212033,-3.440546,-2.721804,-0.07023446,-4.986868,5.7673125,-0.7822097,-0.7623288,3.602928,-2.0233848,2.9474306,0.81835616,-3.663905,-1.5289441,1.5382513,-1.4529948,-0.31916147,-2.2081194,-0.8901745,male,child
